14/06/30 14:39:43 INFO Configuration.deprecation: mapred.reduce.tasks is deprecated. Instead, use mapreduce.job.reduces
14/06/30 14:39:43 INFO Configuration.deprecation: mapred.min.split.size is deprecated. Instead, use mapreduce.input.fileinputformat.split.minsize
14/06/30 14:39:43 INFO Configuration.deprecation: mapred.reduce.tasks.speculative.execution is deprecated. Instead, use mapreduce.reduce.speculative
14/06/30 14:39:43 INFO Configuration.deprecation: mapred.min.split.size.per.node is deprecated. Instead, use mapreduce.input.fileinputformat.split.minsize.per.node
14/06/30 14:39:43 INFO Configuration.deprecation: mapred.input.dir.recursive is deprecated. Instead, use mapreduce.input.fileinputformat.input.dir.recursive
14/06/30 14:39:43 INFO Configuration.deprecation: mapred.min.split.size.per.rack is deprecated. Instead, use mapreduce.input.fileinputformat.split.minsize.per.rack
14/06/30 14:39:43 INFO Configuration.deprecation: mapred.max.split.size is deprecated. Instead, use mapreduce.input.fileinputformat.split.maxsize
14/06/30 14:39:43 INFO Configuration.deprecation: mapred.committer.job.setup.cleanup.needed is deprecated. Instead, use mapreduce.job.committer.setup.cleanup.needed

Logging initialized using configuration in jar:file:/usr/local/hive/lib/hive-common-0.13.0.jar!/hive-log4j.properties
hive.exec.parallel=false
hive.exec.parallel.thread.number=8
hive.exec.compress.intermediate=false
mapred.map.output.compression.codec=org.apache.hadoop.io.compress.DefaultCodec
hive.exec.compress.output=false
mapred.output.compression.codec=org.apache.hadoop.io.compress.DefaultCodec
hive.default.fileformat=TextFile
hive.optimize.mapjoin.mapreduce is undefined
hive.mapjoin.smalltable.filesize=25000000
hive.optimize.bucketmapjoin=false
hive.optimize.bucketmapjoin.sortedmerge=false
hive.auto.convert.join=true
hive.auto.convert.sortmerge.join=false
hive.auto.convert.sortmerge.join.noconditionaltask is undefined
hive.optimize.ppd=true
hive.optimize.index.filter=false
OK
Time taken: 0.589 seconds
Added resource: /home/hduser/nfs/Big-Bench/queries/q01/reducer_q1.py
hive.exec.compress.output=false
OK
Time taken: 0.071 seconds
Total jobs = 2
Launching Job 1 out of 2
Number of reduce tasks not specified. Estimated from input data size: 14
In order to change the average load for a reducer (in bytes):
  set hive.exec.reducers.bytes.per.reducer=<number>
In order to limit the maximum number of reducers:
  set hive.exec.reducers.max=<number>
In order to set a constant number of reducers:
  set mapreduce.job.reduces=<number>
Starting Job = job_1404113889176_0001, Tracking URL = http://master:8088/proxy/application_1404113889176_0001/
Kill Command = /usr/local/hadoop/bin/hadoop job  -kill job_1404113889176_0001
Hadoop job information for Stage-1: number of mappers: 52; number of reducers: 14
2014-06-30 14:40:24,209 Stage-1 map = 0%,  reduce = 0%
2014-06-30 14:44:18,041 Stage-1 map = 0%,  reduce = 0%, Cumulative CPU 39.09 sec
2014-06-30 14:45:41,586 Stage-1 map = 1%,  reduce = 0%, Cumulative CPU 39.09 sec
2014-06-30 14:46:22,297 Stage-1 map = 10%,  reduce = 0%, Cumulative CPU 593.38 sec
2014-06-30 14:47:16,148 Stage-1 map = 11%,  reduce = 0%, Cumulative CPU 633.61 sec
2014-06-30 14:47:20,651 Stage-1 map = 12%,  reduce = 0%, Cumulative CPU 640.31 sec
2014-06-30 14:47:58,026 Stage-1 map = 13%,  reduce = 0%, Cumulative CPU 668.97 sec
2014-06-30 14:48:28,953 Stage-1 map = 14%,  reduce = 0%, Cumulative CPU 691.84 sec
2014-06-30 14:48:45,712 Stage-1 map = 15%,  reduce = 0%, Cumulative CPU 734.19 sec
2014-06-30 14:48:47,059 Stage-1 map = 16%,  reduce = 0%, Cumulative CPU 735.58 sec
2014-06-30 14:49:02,512 Stage-1 map = 17%,  reduce = 0%, Cumulative CPU 745.7 sec
2014-06-30 14:51:56,675 Stage-1 map = 26%,  reduce = 0%, Cumulative CPU 746.76 sec
2014-06-30 14:52:02,849 Stage-1 map = 40%,  reduce = 0%, Cumulative CPU 746.76 sec
2014-06-30 14:52:23,949 Stage-1 map = 33%,  reduce = 0%, Cumulative CPU 746.76 sec
2014-06-30 14:52:25,932 Stage-1 map = 31%,  reduce = 0%, Cumulative CPU 767.15 sec
2014-06-30 14:52:27,663 Stage-1 map = 33%,  reduce = 0%, Cumulative CPU 773.38 sec
2014-06-30 14:52:35,322 Stage-1 map = 31%,  reduce = 0%, Cumulative CPU 779.62 sec
2014-06-30 14:52:45,991 Stage-1 map = 29%,  reduce = 0%, Cumulative CPU 817.57 sec
2014-06-30 14:52:59,095 Stage-1 map = 27%,  reduce = 0%, Cumulative CPU 856.28 sec
2014-06-30 14:53:01,909 Stage-1 map = 26%,  reduce = 0%, Cumulative CPU 862.04 sec
2014-06-30 14:53:09,337 Stage-1 map = 24%,  reduce = 0%, Cumulative CPU 881.73 sec
2014-06-30 14:53:17,655 Stage-1 map = 22%,  reduce = 0%, Cumulative CPU 903.36 sec
2014-06-30 14:53:31,283 Stage-1 map = 21%,  reduce = 0%, Cumulative CPU 941.38 sec
2014-06-30 14:53:37,581 Stage-1 map = 22%,  reduce = 0%, Cumulative CPU 962.12 sec
2014-06-30 14:53:51,833 Stage-1 map = 23%,  reduce = 0%, Cumulative CPU 988.59 sec
2014-06-30 14:54:17,800 Stage-1 map = 24%,  reduce = 0%, Cumulative CPU 1023.51 sec
