14/06/30 17:32:04 INFO Configuration.deprecation: mapred.reduce.tasks is deprecated. Instead, use mapreduce.job.reduces
14/06/30 17:32:04 INFO Configuration.deprecation: mapred.min.split.size is deprecated. Instead, use mapreduce.input.fileinputformat.split.minsize
14/06/30 17:32:04 INFO Configuration.deprecation: mapred.reduce.tasks.speculative.execution is deprecated. Instead, use mapreduce.reduce.speculative
14/06/30 17:32:04 INFO Configuration.deprecation: mapred.min.split.size.per.node is deprecated. Instead, use mapreduce.input.fileinputformat.split.minsize.per.node
14/06/30 17:32:04 INFO Configuration.deprecation: mapred.input.dir.recursive is deprecated. Instead, use mapreduce.input.fileinputformat.input.dir.recursive
14/06/30 17:32:04 INFO Configuration.deprecation: mapred.min.split.size.per.rack is deprecated. Instead, use mapreduce.input.fileinputformat.split.minsize.per.rack
14/06/30 17:32:04 INFO Configuration.deprecation: mapred.max.split.size is deprecated. Instead, use mapreduce.input.fileinputformat.split.maxsize
14/06/30 17:32:04 INFO Configuration.deprecation: mapred.committer.job.setup.cleanup.needed is deprecated. Instead, use mapreduce.job.committer.setup.cleanup.needed

Logging initialized using configuration in jar:file:/usr/local/hive/lib/hive-common-0.13.0.jar!/hive-log4j.properties
hive.exec.parallel=false
hive.exec.parallel.thread.number=8
hive.exec.compress.intermediate=false
mapred.map.output.compression.codec=org.apache.hadoop.io.compress.DefaultCodec
hive.exec.compress.output=false
mapred.output.compression.codec=org.apache.hadoop.io.compress.DefaultCodec
hive.default.fileformat=TextFile
hive.optimize.mapjoin.mapreduce is undefined
hive.mapjoin.smalltable.filesize=25000000
hive.optimize.bucketmapjoin=false
hive.optimize.bucketmapjoin.sortedmerge=false
hive.auto.convert.join=true
hive.auto.convert.sortmerge.join=false
hive.auto.convert.sortmerge.join.noconditionaltask is undefined
hive.optimize.ppd=true
hive.optimize.index.filter=false
OK
Time taken: 0.585 seconds
Added resource: /home/hduser/nfs/Big-Bench/queries/q02/q2_reducer.py
OK
Time taken: 0.072 seconds
Total jobs = 2
14/06/30 17:32:15 WARN conf.Configuration: file:/tmp/hduser/hive_2014-06-30_17-32-11_554_713385213315704986-1/-local-10008/jobconf.xml:an attempt to override final parameter: mapreduce.job.end-notification.max.retry.interval;  Ignoring.
14/06/30 17:32:15 WARN conf.Configuration: file:/tmp/hduser/hive_2014-06-30_17-32-11_554_713385213315704986-1/-local-10008/jobconf.xml:an attempt to override final parameter: mapreduce.job.end-notification.max.attempts;  Ignoring.
14/06/30 17:32:15 WARN util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
14/06/30 17:32:15 INFO Configuration.deprecation: mapred.reduce.tasks is deprecated. Instead, use mapreduce.job.reduces
14/06/30 17:32:15 INFO Configuration.deprecation: mapred.min.split.size is deprecated. Instead, use mapreduce.input.fileinputformat.split.minsize
14/06/30 17:32:15 INFO Configuration.deprecation: mapred.reduce.tasks.speculative.execution is deprecated. Instead, use mapreduce.reduce.speculative
14/06/30 17:32:15 INFO Configuration.deprecation: mapred.min.split.size.per.node is deprecated. Instead, use mapreduce.input.fileinputformat.split.minsize.per.node
14/06/30 17:32:15 INFO Configuration.deprecation: mapred.input.dir.recursive is deprecated. Instead, use mapreduce.input.fileinputformat.input.dir.recursive
14/06/30 17:32:15 INFO Configuration.deprecation: mapred.min.split.size.per.rack is deprecated. Instead, use mapreduce.input.fileinputformat.split.minsize.per.rack
14/06/30 17:32:15 INFO Configuration.deprecation: mapred.max.split.size is deprecated. Instead, use mapreduce.input.fileinputformat.split.maxsize
14/06/30 17:32:15 INFO Configuration.deprecation: mapred.committer.job.setup.cleanup.needed is deprecated. Instead, use mapreduce.job.committer.setup.cleanup.needed
Execution log at: /tmp/hduser/hduser_20140630173232_bd32a8dd-89ac-4a97-8665-7ea398ec2207.log
2014-06-30 05:32:16	Starting to launch local task to process map join;	maximum memory = 514850816
2014-06-30 05:32:16	Dump the side-table into file: file:/tmp/hduser/hive_2014-06-30_17-32-11_554_713385213315704986-1/-local-10005/HashTable-Stage-2/MapJoin-mapfile01--.hashtable
2014-06-30 05:32:16	Uploaded 1 File to: file:/tmp/hduser/hive_2014-06-30_17-32-11_554_713385213315704986-1/-local-10005/HashTable-Stage-2/MapJoin-mapfile01--.hashtable (17628 bytes)
2014-06-30 05:32:16	End of local task; Time Taken: 0.733 sec.
Execution completed successfully
MapredLocal task succeeded
Launching Job 1 out of 2
Number of reduce tasks not specified. Estimated from input data size: 14
In order to change the average load for a reducer (in bytes):
  set hive.exec.reducers.bytes.per.reducer=<number>
In order to limit the maximum number of reducers:
  set hive.exec.reducers.max=<number>
In order to set a constant number of reducers:
  set mapreduce.job.reduces=<number>
Starting Job = job_1404113889176_0003, Tracking URL = http://master:8088/proxy/application_1404113889176_0003/
Kill Command = /usr/local/hadoop/bin/hadoop job  -kill job_1404113889176_0003
Hadoop job information for Stage-2: number of mappers: 52; number of reducers: 14
2014-06-30 17:32:28,289 Stage-2 map = 0%,  reduce = 0%
2014-06-30 17:33:29,173 Stage-2 map = 0%,  reduce = 0%, Cumulative CPU 156.64 sec
2014-06-30 17:33:43,782 Stage-2 map = 1%,  reduce = 0%, Cumulative CPU 207.08 sec
2014-06-30 17:33:44,822 Stage-2 map = 2%,  reduce = 0%, Cumulative CPU 208.49 sec
2014-06-30 17:33:46,908 Stage-2 map = 3%,  reduce = 0%, Cumulative CPU 217.04 sec
2014-06-30 17:33:50,042 Stage-2 map = 4%,  reduce = 0%, Cumulative CPU 227.15 sec
2014-06-30 17:34:47,256 Stage-2 map = 5%,  reduce = 0%, Cumulative CPU 416.75 sec
2014-06-30 17:34:50,436 Stage-2 map = 6%,  reduce = 0%, Cumulative CPU 426.76 sec
2014-06-30 17:34:52,787 Stage-2 map = 8%,  reduce = 0%, Cumulative CPU 434.52 sec
2014-06-30 17:34:59,496 Stage-2 map = 9%,  reduce = 0%, Cumulative CPU 441.21 sec
2014-06-30 17:35:15,038 Stage-2 map = 10%,  reduce = 0%, Cumulative CPU 451.86 sec
2014-06-30 17:35:57,802 Stage-2 map = 11%,  reduce = 0%, Cumulative CPU 458.46 sec
2014-06-30 17:35:58,969 Stage-2 map = 12%,  reduce = 0%, Cumulative CPU 468.68 sec
2014-06-30 17:36:59,531 Stage-2 map = 12%,  reduce = 0%, Cumulative CPU 601.26 sec
2014-06-30 17:37:19,236 Stage-2 map = 13%,  reduce = 0%, Cumulative CPU 675.01 sec
2014-06-30 17:37:22,344 Stage-2 map = 15%,  reduce = 0%, Cumulative CPU 685.35 sec
2014-06-30 17:38:21,921 Stage-2 map = 16%,  reduce = 0%, Cumulative CPU 880.07 sec
2014-06-30 17:38:24,420 Stage-2 map = 18%,  reduce = 0%, Cumulative CPU 885.05 sec
2014-06-30 17:38:25,499 Stage-2 map = 19%,  reduce = 0%, Cumulative CPU 891.43 sec
2014-06-30 17:38:30,866 Stage-2 map = 20%,  reduce = 0%, Cumulative CPU 898.84 sec
2014-06-30 17:38:44,354 Stage-2 map = 21%,  reduce = 0%, Cumulative CPU 909.04 sec
2014-06-30 17:39:00,269 Stage-2 map = 22%,  reduce = 0%, Cumulative CPU 917.95 sec
2014-06-30 17:39:20,741 Stage-2 map = 23%,  reduce = 0%, Cumulative CPU 926.82 sec
2014-06-30 17:40:09,640 Stage-2 map = 23%,  reduce = 1%, Cumulative CPU 963.17 sec
2014-06-30 17:40:57,471 Stage-2 map = 24%,  reduce = 1%, Cumulative CPU 1114.69 sec
2014-06-30 17:40:59,704 Stage-2 map = 25%,  reduce = 1%, Cumulative CPU 1118.83 sec
2014-06-30 17:41:00,860 Stage-2 map = 26%,  reduce = 1%, Cumulative CPU 1124.31 sec
2014-06-30 17:41:50,324 Stage-2 map = 27%,  reduce = 1%, Cumulative CPU 1285.63 sec
2014-06-30 17:41:53,445 Stage-2 map = 29%,  reduce = 1%, Cumulative CPU 1294.75 sec
2014-06-30 17:41:56,579 Stage-2 map = 30%,  reduce = 1%, Cumulative CPU 1303.76 sec
2014-06-30 17:42:04,159 Stage-2 map = 31%,  reduce = 1%, Cumulative CPU 1310.91 sec
2014-06-30 17:42:16,653 Stage-2 map = 32%,  reduce = 1%, Cumulative CPU 1319.45 sec
2014-06-30 17:42:37,812 Stage-2 map = 33%,  reduce = 1%, Cumulative CPU 1328.47 sec
2014-06-30 17:43:38,502 Stage-2 map = 33%,  reduce = 1%, Cumulative CPU 1457.37 sec
2014-06-30 17:43:56,556 Stage-2 map = 36%,  reduce = 1%, Cumulative CPU 1518.67 sec
2014-06-30 17:44:46,784 Stage-2 map = 37%,  reduce = 1%, Cumulative CPU 1681.8 sec
2014-06-30 17:44:49,922 Stage-2 map = 38%,  reduce = 1%, Cumulative CPU 1691.57 sec
2014-06-30 17:44:53,301 Stage-2 map = 40%,  reduce = 1%, Cumulative CPU 1699.72 sec
2014-06-30 17:45:06,295 Stage-2 map = 41%,  reduce = 1%, Cumulative CPU 1712.12 sec
2014-06-30 17:45:24,009 Stage-2 map = 42%,  reduce = 1%, Cumulative CPU 1721.59 sec
2014-06-30 17:46:09,162 Stage-2 map = 42%,  reduce = 2%, Cumulative CPU 1744.0 sec
2014-06-30 17:46:49,442 Stage-2 map = 43%,  reduce = 2%, Cumulative CPU 1869.47 sec
2014-06-30 17:46:52,551 Stage-2 map = 44%,  reduce = 2%, Cumulative CPU 1878.95 sec
2014-06-30 17:46:55,654 Stage-2 map = 45%,  reduce = 2%, Cumulative CPU 1888.02 sec
2014-06-30 17:47:36,124 Stage-2 map = 46%,  reduce = 2%, Cumulative CPU 2016.5 sec
2014-06-30 17:47:39,535 Stage-2 map = 47%,  reduce = 2%, Cumulative CPU 2026.03 sec
2014-06-30 17:47:42,890 Stage-2 map = 48%,  reduce = 2%, Cumulative CPU 2034.72 sec
2014-06-30 17:47:45,732 Stage-2 map = 49%,  reduce = 2%, Cumulative CPU 2034.75 sec
