14/06/30 20:29:23 INFO Configuration.deprecation: mapred.reduce.tasks is deprecated. Instead, use mapreduce.job.reduces
14/06/30 20:29:23 INFO Configuration.deprecation: mapred.min.split.size is deprecated. Instead, use mapreduce.input.fileinputformat.split.minsize
14/06/30 20:29:23 INFO Configuration.deprecation: mapred.reduce.tasks.speculative.execution is deprecated. Instead, use mapreduce.reduce.speculative
14/06/30 20:29:23 INFO Configuration.deprecation: mapred.min.split.size.per.node is deprecated. Instead, use mapreduce.input.fileinputformat.split.minsize.per.node
14/06/30 20:29:23 INFO Configuration.deprecation: mapred.input.dir.recursive is deprecated. Instead, use mapreduce.input.fileinputformat.input.dir.recursive
14/06/30 20:29:23 INFO Configuration.deprecation: mapred.min.split.size.per.rack is deprecated. Instead, use mapreduce.input.fileinputformat.split.minsize.per.rack
14/06/30 20:29:23 INFO Configuration.deprecation: mapred.max.split.size is deprecated. Instead, use mapreduce.input.fileinputformat.split.maxsize
14/06/30 20:29:23 INFO Configuration.deprecation: mapred.committer.job.setup.cleanup.needed is deprecated. Instead, use mapreduce.job.committer.setup.cleanup.needed

Logging initialized using configuration in jar:file:/usr/local/hive/lib/hive-common-0.13.0.jar!/hive-log4j.properties
hive.exec.parallel=false
hive.exec.parallel.thread.number=8
hive.exec.compress.intermediate=false
mapred.map.output.compression.codec=org.apache.hadoop.io.compress.DefaultCodec
hive.exec.compress.output=false
mapred.output.compression.codec=org.apache.hadoop.io.compress.DefaultCodec
hive.default.fileformat=TextFile
hive.optimize.mapjoin.mapreduce is undefined
hive.mapjoin.smalltable.filesize=25000000
hive.optimize.bucketmapjoin=false
hive.optimize.bucketmapjoin.sortedmerge=false
hive.auto.convert.join=true
hive.auto.convert.sortmerge.join=false
hive.auto.convert.sortmerge.join.noconditionaltask is undefined
hive.optimize.ppd=true
hive.optimize.index.filter=false
OK
Time taken: 0.591 seconds
Added resource: /home/hduser/nfs/Big-Bench/queries/q09/mapper_q09.py
Added resource: /home/hduser/nfs/Big-Bench/queries/q09/reducer_q09.py
Added resource: /home/hduser/nfs/Big-Bench/queries/q09/mapper2_q09.py
Added resource: /home/hduser/nfs/Big-Bench/queries/q09/reducer2_q09.py
hive.exec.compress.output=false
OK
Time taken: 0.086 seconds
Total jobs = 4
Stage-1 is selected by condition resolver.
Launching Job 1 out of 4
Number of reduce tasks not specified. Estimated from input data size: 12
In order to change the average load for a reducer (in bytes):
  set hive.exec.reducers.bytes.per.reducer=<number>
In order to limit the maximum number of reducers:
  set hive.exec.reducers.max=<number>
In order to set a constant number of reducers:
  set mapreduce.job.reduces=<number>
Starting Job = job_1404113889176_0047, Tracking URL = http://master:8088/proxy/application_1404113889176_0047/
Kill Command = /usr/local/hadoop/bin/hadoop job  -kill job_1404113889176_0047
Hadoop job information for Stage-1: number of mappers: 44; number of reducers: 12
2014-06-30 20:29:40,385 Stage-1 map = 0%,  reduce = 0%
2014-06-30 20:30:14,525 Stage-1 map = 1%,  reduce = 0%, Cumulative CPU 32.44 sec
2014-06-30 20:30:20,769 Stage-1 map = 2%,  reduce = 0%, Cumulative CPU 36.07 sec
2014-06-30 20:30:27,015 Stage-1 map = 5%,  reduce = 0%, Cumulative CPU 39.43 sec
2014-06-30 20:30:41,663 Stage-1 map = 9%,  reduce = 0%, Cumulative CPU 56.18 sec
2014-06-30 20:30:42,700 Stage-1 map = 10%,  reduce = 0%, Cumulative CPU 58.38 sec
2014-06-30 20:30:44,785 Stage-1 map = 11%,  reduce = 0%, Cumulative CPU 66.16 sec
2014-06-30 20:30:47,455 Stage-1 map = 14%,  reduce = 0%, Cumulative CPU 71.7 sec
2014-06-30 20:31:06,304 Stage-1 map = 15%,  reduce = 0%, Cumulative CPU 99.58 sec
2014-06-30 20:31:10,510 Stage-1 map = 16%,  reduce = 0%, Cumulative CPU 108.42 sec
2014-06-30 20:31:12,595 Stage-1 map = 18%,  reduce = 0%, Cumulative CPU 115.19 sec
2014-06-30 20:31:14,676 Stage-1 map = 19%,  reduce = 0%, Cumulative CPU 117.55 sec
2014-06-30 20:31:15,718 Stage-1 map = 20%,  reduce = 0%, Cumulative CPU 125.09 sec
2014-06-30 20:31:18,840 Stage-1 map = 21%,  reduce = 0%, Cumulative CPU 131.64 sec
2014-06-30 20:31:19,883 Stage-1 map = 22%,  reduce = 0%, Cumulative CPU 132.28 sec
2014-06-30 20:31:21,969 Stage-1 map = 23%,  reduce = 0%, Cumulative CPU 135.45 sec
2014-06-30 20:31:31,382 Stage-1 map = 24%,  reduce = 0%, Cumulative CPU 143.54 sec
2014-06-30 20:31:33,468 Stage-1 map = 25%,  reduce = 0%, Cumulative CPU 150.23 sec
2014-06-30 20:31:35,549 Stage-1 map = 25%,  reduce = 1%, Cumulative CPU 151.88 sec
2014-06-30 20:31:36,588 Stage-1 map = 26%,  reduce = 1%, Cumulative CPU 154.54 sec
2014-06-30 20:31:38,681 Stage-1 map = 27%,  reduce = 1%, Cumulative CPU 161.82 sec
2014-06-30 20:31:53,343 Stage-1 map = 28%,  reduce = 1%, Cumulative CPU 180.14 sec
2014-06-30 20:31:55,415 Stage-1 map = 29%,  reduce = 1%, Cumulative CPU 182.53 sec
2014-06-30 20:32:08,900 Stage-1 map = 30%,  reduce = 1%, Cumulative CPU 192.79 sec
2014-06-30 20:32:15,133 Stage-1 map = 31%,  reduce = 1%, Cumulative CPU 199.19 sec
2014-06-30 20:32:18,255 Stage-1 map = 32%,  reduce = 1%, Cumulative CPU 201.41 sec
2014-06-30 20:32:20,337 Stage-1 map = 33%,  reduce = 1%, Cumulative CPU 204.37 sec
2014-06-30 20:32:31,758 Stage-1 map = 34%,  reduce = 1%, Cumulative CPU 221.55 sec
2014-06-30 20:32:34,861 Stage-1 map = 35%,  reduce = 1%, Cumulative CPU 226.28 sec
2014-06-30 20:32:35,903 Stage-1 map = 36%,  reduce = 1%, Cumulative CPU 227.67 sec
2014-06-30 20:32:59,742 Stage-1 map = 37%,  reduce = 1%, Cumulative CPU 246.38 sec
2014-06-30 20:33:01,807 Stage-1 map = 38%,  reduce = 1%, Cumulative CPU 247.17 sec
2014-06-30 20:33:02,847 Stage-1 map = 39%,  reduce = 1%, Cumulative CPU 247.8 sec
2014-06-30 20:33:11,108 Stage-1 map = 39%,  reduce = 2%, Cumulative CPU 252.77 sec
2014-06-30 20:33:23,532 Stage-1 map = 40%,  reduce = 2%, Cumulative CPU 262.02 sec
2014-06-30 20:33:26,635 Stage-1 map = 41%,  reduce = 2%, Cumulative CPU 266.15 sec
2014-06-30 20:33:27,748 Stage-1 map = 42%,  reduce = 2%, Cumulative CPU 266.88 sec
2014-06-30 20:33:39,173 Stage-1 map = 43%,  reduce = 2%, Cumulative CPU 283.76 sec
2014-06-30 20:33:42,280 Stage-1 map = 45%,  reduce = 2%, Cumulative CPU 289.11 sec
2014-06-30 20:33:47,502 Stage-1 map = 46%,  reduce = 2%, Cumulative CPU 295.9 sec
2014-06-30 20:33:50,611 Stage-1 map = 46%,  reduce = 3%, Cumulative CPU 297.05 sec
2014-06-30 20:33:56,803 Stage-1 map = 47%,  reduce = 3%, Cumulative CPU 302.68 sec
2014-06-30 20:34:15,378 Stage-1 map = 48%,  reduce = 3%, Cumulative CPU 318.26 sec
2014-06-30 20:34:24,715 Stage-1 map = 49%,  reduce = 3%, Cumulative CPU 323.75 sec
2014-06-30 20:34:26,803 Stage-1 map = 50%,  reduce = 3%, Cumulative CPU 331.75 sec
2014-06-30 20:34:29,910 Stage-1 map = 51%,  reduce = 3%, Cumulative CPU 335.98 sec
2014-06-30 20:34:30,956 Stage-1 map = 52%,  reduce = 3%, Cumulative CPU 337.81 sec
2014-06-30 20:34:42,427 Stage-1 map = 53%,  reduce = 3%, Cumulative CPU 348.06 sec
2014-06-30 20:34:43,477 Stage-1 map = 54%,  reduce = 3%, Cumulative CPU 349.79 sec
2014-06-30 20:34:53,826 Stage-1 map = 54%,  reduce = 4%, Cumulative CPU 356.29 sec
2014-06-30 20:34:57,974 Stage-1 map = 55%,  reduce = 4%, Cumulative CPU 358.68 sec
2014-06-30 20:35:04,235 Stage-1 map = 55%,  reduce = 5%, Cumulative CPU 364.07 sec
