TimeStamp;NodeID;NodeCount;SF;WorkerCount;Table name;time in ms;size in byte;speed;comment
1403308395871;1;1;20.0;24;ALL;313974;19733241763;59.9 MiB/s;;
1403308395871;1;1;20.0;24;ALL#worker0;processdWorkUnits;129725;processdWorkUnits/s;413;;
1403308395871;1;1;20.0;24;ALL#worker1;processdWorkUnits;128880;processdWorkUnits/s;410;;
1403308395871;1;1;20.0;24;ALL#worker10;processdWorkUnits;131924;processdWorkUnits/s;420;;
1403308395871;1;1;20.0;24;ALL#worker11;processdWorkUnits;133315;processdWorkUnits/s;424;;
1403308395871;1;1;20.0;24;ALL#worker12;processdWorkUnits;131484;processdWorkUnits/s;418;;
1403308395871;1;1;20.0;24;ALL#worker13;processdWorkUnits;129428;processdWorkUnits/s;412;;
1403308395871;1;1;20.0;24;ALL#worker14;processdWorkUnits;135668;processdWorkUnits/s;432;;
1403308395871;1;1;20.0;24;ALL#worker15;processdWorkUnits;129394;processdWorkUnits/s;412;;
1403308395871;1;1;20.0;24;ALL#worker16;processdWorkUnits;138263;processdWorkUnits/s;440;;
1403308395871;1;1;20.0;24;ALL#worker17;processdWorkUnits;136468;processdWorkUnits/s;434;;
1403308395871;1;1;20.0;24;ALL#worker18;processdWorkUnits;132036;processdWorkUnits/s;420;;
1403308395871;1;1;20.0;24;ALL#worker19;processdWorkUnits;130895;processdWorkUnits/s;416;;
1403308395871;1;1;20.0;24;ALL#worker2;processdWorkUnits;128114;processdWorkUnits/s;408;;
1403308395871;1;1;20.0;24;ALL#worker20;processdWorkUnits;132391;processdWorkUnits/s;421;;
1403308395871;1;1;20.0;24;ALL#worker21;processdWorkUnits;132250;processdWorkUnits/s;421;;
1403308395871;1;1;20.0;24;ALL#worker22;processdWorkUnits;131012;processdWorkUnits/s;417;;
1403308395871;1;1;20.0;24;ALL#worker23;processdWorkUnits;128653;processdWorkUnits/s;409;;
1403308395871;1;1;20.0;24;ALL#worker3;processdWorkUnits;131389;processdWorkUnits/s;418;;
1403308395871;1;1;20.0;24;ALL#worker4;processdWorkUnits;127010;processdWorkUnits/s;404;;
1403308395871;1;1;20.0;24;ALL#worker5;processdWorkUnits;131458;processdWorkUnits/s;418;;
1403308395871;1;1;20.0;24;ALL#worker6;processdWorkUnits;128173;processdWorkUnits/s;408;;
1403308395871;1;1;20.0;24;ALL#worker7;processdWorkUnits;130354;processdWorkUnits/s;415;;
1403308395871;1;1;20.0;24;ALL#worker8;processdWorkUnits;134104;processdWorkUnits/s;427;;
1403308395871;1;1;20.0;24;ALL#worker9;processdWorkUnits;132382;processdWorkUnits/s;421;;
1403308395871;1;1;20.0;24;customer;991;61698756;59.4 MiB/s;;
1403308395871;1;1;20.0;24;customer_address;315;23817616;72.1 MiB/s;;
1403308395871;1;1;20.0;24;customer_demographics;1288;77751617;57.6 MiB/s;;
1403308395871;1;1;20.0;24;date_dim;880;15495369;16.8 MiB/s;;
1403308395871;1;1;20.0;24;household_demographics;4;135319;32.3 MiB/s;;
1403308395871;1;1;20.0;24;income_band;4;407;99.4 KiB/s;;
1403308395871;1;1;20.0;24;inventory;99602;5599843615;53.6 MiB/s;;
1403308395871;1;1;20.0;24;item;307;22814363;70.9 MiB/s;;
1403308395871;1;1;20.0;24;item_marketprices;188;17411882;88.3 MiB/s;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#0;processdWorkUnits;129725;processdWorkUnits/s;413;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#1;processdWorkUnits;128880;processdWorkUnits/s;410;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#10;processdWorkUnits;131924;processdWorkUnits/s;420;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#11;processdWorkUnits;133315;processdWorkUnits/s;424;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#12;processdWorkUnits;131484;processdWorkUnits/s;418;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#13;processdWorkUnits;129428;processdWorkUnits/s;412;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#14;processdWorkUnits;135668;processdWorkUnits/s;432;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#15;processdWorkUnits;129394;processdWorkUnits/s;412;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#16;processdWorkUnits;138263;processdWorkUnits/s;440;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#17;processdWorkUnits;136468;processdWorkUnits/s;434;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#18;processdWorkUnits;132036;processdWorkUnits/s;420;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#19;processdWorkUnits;130895;processdWorkUnits/s;416;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#2;processdWorkUnits;128114;processdWorkUnits/s;408;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#20;processdWorkUnits;132391;processdWorkUnits/s;421;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#21;processdWorkUnits;132250;processdWorkUnits/s;421;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#22;processdWorkUnits;131012;processdWorkUnits/s;417;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#23;processdWorkUnits;128653;processdWorkUnits/s;409;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#3;processdWorkUnits;131389;processdWorkUnits/s;418;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#4;processdWorkUnits;127010;processdWorkUnits/s;404;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#5;processdWorkUnits;131458;processdWorkUnits/s;418;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#6;processdWorkUnits;128173;processdWorkUnits/s;408;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#7;processdWorkUnits;130354;processdWorkUnits/s;415;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#8;processdWorkUnits;134104;processdWorkUnits/s;427;;
1403308395871;1;1;20.0;24;pdgf.core.dataGenerator.worker.RowWorker#worker#9;processdWorkUnits;132382;processdWorkUnits/s;421;;
1403308395871;1;1;20.0;24;product_reviews;4495;302745566;64.2 MiB/s;;
1403308395871;1;1;20.0;24;promotion;6;13179;2.1 MiB/s;;
1403308395871;1;1;20.0;24;reason;3;19652;6.2 MiB/s;;
1403308395871;1;1;20.0;24;ship_mode;4;1197;292.2 KiB/s;;
1403308395871;1;1;20.0;24;store;5;13680;2.6 MiB/s;;
1403308395871;1;1;20.0;24;store_returns;2627;155413237;56.4 MiB/s;;
1403308395871;1;1;20.0;24;store_sales;48225;3178152557;62.8 MiB/s;;
1403308395871;1;1;20.0;24;time_dim;47;6479789;131.5 MiB/s;;
1403308395871;1;1;20.0;24;warehouse;3;1508;490.9 KiB/s;;
1403308395871;1;1;20.0;24;web_clickstreams;83117;5505784299;63.2 MiB/s;;
1403308395871;1;1;20.0;24;web_page;9;66689;7.1 MiB/s;;
1403308395871;1;1;20.0;24;web_returns;2803;189319035;64.4 MiB/s;;
1403308395871;1;1;20.0;24;web_sales;69009;4576253124;63.2 MiB/s;;
1403340348594;1;1;50.0;24;ALL;751964;50031982121;63.5 MiB/s;;
1403340348594;1;1;50.0;24;ALL#worker0;processdWorkUnits;261002;processdWorkUnits/s;347;;
1403340348594;1;1;50.0;24;ALL#worker1;processdWorkUnits;252455;processdWorkUnits/s;335;;
1403340348594;1;1;50.0;24;ALL#worker10;processdWorkUnits;267149;processdWorkUnits/s;355;;
1403340348594;1;1;50.0;24;ALL#worker11;processdWorkUnits;249639;processdWorkUnits/s;331;;
1403340348594;1;1;50.0;24;ALL#worker12;processdWorkUnits;255897;processdWorkUnits/s;340;;
1403340348594;1;1;50.0;24;ALL#worker13;processdWorkUnits;260511;processdWorkUnits/s;346;;
1403340348594;1;1;50.0;24;ALL#worker14;processdWorkUnits;253252;processdWorkUnits/s;336;;
1403340348594;1;1;50.0;24;ALL#worker15;processdWorkUnits;249809;processdWorkUnits/s;332;;
1403340348594;1;1;50.0;24;ALL#worker16;processdWorkUnits;260553;processdWorkUnits/s;346;;
1403340348594;1;1;50.0;24;ALL#worker17;processdWorkUnits;251705;processdWorkUnits/s;334;;
1403340348594;1;1;50.0;24;ALL#worker18;processdWorkUnits;255164;processdWorkUnits/s;339;;
1403340348594;1;1;50.0;24;ALL#worker19;processdWorkUnits;252463;processdWorkUnits/s;335;;
1403340348594;1;1;50.0;24;ALL#worker2;processdWorkUnits;263338;processdWorkUnits/s;350;;
1403340348594;1;1;50.0;24;ALL#worker20;processdWorkUnits;262913;processdWorkUnits/s;349;;
1403340348594;1;1;50.0;24;ALL#worker21;processdWorkUnits;256020;processdWorkUnits/s;340;;
1403340348594;1;1;50.0;24;ALL#worker22;processdWorkUnits;252271;processdWorkUnits/s;335;;
1403340348594;1;1;50.0;24;ALL#worker23;processdWorkUnits;265943;processdWorkUnits/s;353;;
1403340348594;1;1;50.0;24;ALL#worker3;processdWorkUnits;254903;processdWorkUnits/s;339;;
1403340348594;1;1;50.0;24;ALL#worker4;processdWorkUnits;266523;processdWorkUnits/s;354;;
