TimeStamp;NodeID;NodeCount;SF;WorkerCount;Table name;time in ms;size in byte;speed;comment
1402302249124;1;1;1.0;4;ALL;55745;1096667231;18.8 MiB/s;;
1402302249124;1;1;1.0;4;ALL#worker0;processdWorkUnits;66319;processdWorkUnits/s;1191;;
1402302249124;1;1;1.0;4;ALL#worker1;processdWorkUnits;66750;processdWorkUnits/s;1199;;
1402302249124;1;1;1.0;4;ALL#worker2;processdWorkUnits;67189;processdWorkUnits/s;1207;;
1402302249124;1;1;1.0;4;ALL#worker3;processdWorkUnits;65861;processdWorkUnits/s;1183;;
1402302249124;1;1;1.0;4;customer;749;13633355;17.4 MiB/s;;
1402302249124;1;1;1.0;4;customer_address;413;5257963;12.1 MiB/s;;
1402302249124;1;1;1.0;4;customer_demographics;2869;77751617;25.8 MiB/s;;
1402302249124;1;1;1.0;4;date_dim;3960;15495369;3.7 MiB/s;;
1402302249124;1;1;1.0;4;household_demographics;14;154838;10.5 MiB/s;;
1402302249124;1;1;1.0;4;income_band;441;407;922 B/s;;
1402302249124;1;1;1.0;4;inventory;20579;429236150;19.9 MiB/s;;
1402302249124;1;1;1.0;4;item;423;5528034;12.5 MiB/s;;
1402302249124;1;1;1.0;4;item_marketprices;412;3772891;8.7 MiB/s;;
1402302249124;1;1;1.0;4;pdgf.core.dataGenerator.worker.RowWorker#worker#0;processdWorkUnits;66319;processdWorkUnits/s;1191;;
1402302249124;1;1;1.0;4;pdgf.core.dataGenerator.worker.RowWorker#worker#1;processdWorkUnits;66750;processdWorkUnits/s;1199;;
1402302249124;1;1;1.0;4;pdgf.core.dataGenerator.worker.RowWorker#worker#2;processdWorkUnits;67189;processdWorkUnits/s;1207;;
1402302249124;1;1;1.0;4;pdgf.core.dataGenerator.worker.RowWorker#worker#3;processdWorkUnits;65861;processdWorkUnits/s;1183;;
1402302249124;1;1;1.0;4;product_reviews;4181;65533518;14.9 MiB/s;;
1402302249124;1;1;1.0;4;promotion;378;38967;100.7 KiB/s;;
1402302249124;1;1;1.0;4;reason;85;2431;27.9 KiB/s;;
1402302249124;1;1;1.0;4;ship_mode;41;1197;28.5 KiB/s;;
1402302249124;1;1;1.0;4;store;238;3187;13.1 KiB/s;;
1402302249124;1;1;1.0;4;store_returns;652;5477729;8.0 MiB/s;;
1402302249124;1;1;1.0;4;store_sales;3002;112544612;35.8 MiB/s;;
1402302249124;1;1;1.0;4;time_dim;1264;6479789;4.9 MiB/s;;
1402302249124;1;1;1.0;4;warehouse;3;528;171.9 KiB/s;;
1402302249124;1;1;1.0;4;web_clickstreams;4763;186983372;37.4 MiB/s;;
1402302249124;1;1;1.0;4;web_page;1392;8126;5.7 KiB/s;;
1402302249124;1;1;1.0;4;web_returns;200;6667598;31.8 MiB/s;;
1402302249124;1;1;1.0;4;web_sales;9379;162086246;16.5 MiB/s;;
1402306767022;1;1;1.0;4;ALL;48934;1096193563;21.4 MiB/s;;
1402306767022;1;1;1.0;4;ALL#worker0;processdWorkUnits;66654;processdWorkUnits/s;1363;;
1402306767022;1;1;1.0;4;ALL#worker1;processdWorkUnits;67119;processdWorkUnits/s;1372;;
1402306767022;1;1;1.0;4;ALL#worker2;processdWorkUnits;66566;processdWorkUnits/s;1361;;
1402306767022;1;1;1.0;4;ALL#worker3;processdWorkUnits;65780;processdWorkUnits/s;1345;;
1402306767022;1;1;1.0;4;customer;613;13633355;21.2 MiB/s;;
1402306767022;1;1;1.0;4;customer_address;430;5289727;11.7 MiB/s;;
1402306767022;1;1;1.0;4;customer_demographics;2194;77751617;33.8 MiB/s;;
1402306767022;1;1;1.0;4;date_dim;2567;15495369;5.8 MiB/s;;
1402306767022;1;1;1.0;4;household_demographics;6;154838;24.6 MiB/s;;
1402306767022;1;1;1.0;4;income_band;402;407;1012 B/s;;
1402306767022;1;1;1.0;4;inventory;19751;429236150;20.7 MiB/s;;
1402306767022;1;1;1.0;4;item;1215;5528034;4.3 MiB/s;;
1402306767022;1;1;1.0;4;item_marketprices;554;3772891;6.5 MiB/s;;
1402306767022;1;1;1.0;4;pdgf.core.dataGenerator.worker.RowWorker#worker#0;processdWorkUnits;66654;processdWorkUnits/s;1363;;
1402306767022;1;1;1.0;4;pdgf.core.dataGenerator.worker.RowWorker#worker#1;processdWorkUnits;67119;processdWorkUnits/s;1372;;
1402306767022;1;1;1.0;4;pdgf.core.dataGenerator.worker.RowWorker#worker#2;processdWorkUnits;66566;processdWorkUnits/s;1361;;
1402306767022;1;1;1.0;4;pdgf.core.dataGenerator.worker.RowWorker#worker#3;processdWorkUnits;65780;processdWorkUnits/s;1345;;
1402306767022;1;1;1.0;4;product_reviews;1720;65533518;36.3 MiB/s;;
1402306767022;1;1;1.0;4;promotion;3;38967;12.4 MiB/s;;
1402306767022;1;1;1.0;4;reason;2;2431;1.2 MiB/s;;
1402306767022;1;1;1.0;4;ship_mode;3;1197;389.6 KiB/s;;
1402306767022;1;1;1.0;4;store;2;3187;1.5 MiB/s;;
1402306767022;1;1;1.0;4;store_returns;454;5477729;11.5 MiB/s;;
1402306767022;1;1;1.0;4;store_sales;4528;112544612;23.7 MiB/s;;
1402306767022;1;1;1.0;4;time_dim;978;6479789;6.3 MiB/s;;
1402306767022;1;1;1.0;4;warehouse;132;528;3.9 KiB/s;;
1402306767022;1;1;1.0;4;web_clickstreams;7399;186983372;24.1 MiB/s;;
1402306767022;1;1;1.0;4;web_page;3;8126;2.6 MiB/s;;
1402306767022;1;1;1.0;4;web_returns;814;6162166;7.2 MiB/s;;
1402306767022;1;1;1.0;4;web_sales;5129;162086246;30.1 MiB/s;;
1402307452424;1;1;1.0;4;ALL;41359;1096698995;25.3 MiB/s;;
1402307452424;1;1;1.0;4;ALL#worker0;processdWorkUnits;65055;processdWorkUnits/s;1574;;
1402307452424;1;1;1.0;4;ALL#worker1;processdWorkUnits;68117;processdWorkUnits/s;1648;;
1402307452424;1;1;1.0;4;ALL#worker2;processdWorkUnits;64779;processdWorkUnits/s;1568;;
